	addr	pc	x	y
73	('101', 'PASIR RIS ST 12', 'PASIR RIS')	510101	103.957953	1.367104
74	('101', 'POTONG PASIR AVE 1', 'TOA PAYOH')	350101	103.868646	1.332926
75	('101', 'RIVERVALE WALK', 'SENGKANG')	540101	103.899182	1.382922
76	('101', 'SERANGOON NTH AVE 1', 'SERANGOON')	550101	103.870187	1.371094
77	('101', 'SIMEI ST 1', 'TAMPINES')	520101	103.951339	1.34077
78	('101', 'TAMPINES ST 11', 'TAMPINES')	521101	103.945128	1.347393
79	('101', 'TECK WHYE LANE', 'CHOA CHU KANG')	680101	103.754301	1.3778709999999998
80	('101', 'TOWNER RD', 'KALLANG/WHAMPOA')	322101	103.861151	1.319499
81	('101', 'WHAMPOA DR', 'KALLANG/WHAMPOA')	323101	103.853803	1.3204209999999998
82	('101', 'WOODLANDS ST 13', 'WOODLANDS')	730101	103.78209100000001	1.436099
83	('101', 'YISHUN AVE 5', 'YISHUN')	760101	103.827378	1.43054
84	('101A', 'LOR 2 TOA PAYOH', 'TOA PAYOH')	310101	103.847259	1.339684
85	('101A', 'PUNGGOL FIELD', 'PUNGGOL')	821101	103.905875	1.3980549999999998
86	('101B', 'LOR 2 TOA PAYOH', 'TOA PAYOH')	311101	103.847643	1.339593
87	('101B', 'PUNGGOL FIELD', 'PUNGGOL')	822101	103.906475	1.397851
88	('101C', 'PUNGGOL FIELD', 'PUNGGOL')	823101	103.906596	1.3983079999999999
89	('101D', 'PUNGGOL FIELD', 'PUNGGOL')	824101	103.906215	1.398425
90	('102', 'ALJUNIED CRES', 'GEYLANG')	380102	103.882435	1.320492
91	('102', 'ANG MO KIO AVE 3', 'ANG MO KIO')	560102	103.83930600000001	1.370608
92	('102', 'BEDOK NTH AVE 4', 'BEDOK')	460102	103.937664	1.333958
93	('102', 'BEDOK RESERVOIR RD', 'BEDOK')	470102	103.909153	1.328558
94	('102', 'BISHAN ST 12', 'BISHAN')	570102	103.847948	1.345192
95	('102', 'BT BATOK WEST AVE 6', 'BUKIT BATOK')	650102	103.747486	1.3476110000000001
96	('102', 'BT PURMEI RD', 'BUKIT MERAH')	090102	103.82672600000001	1.271782
97	"('102', ""C'WEALTH CRES"", 'QUEENSTOWN')"	140102	103.800726	1.307798
98	('102', 'CLEMENTI ST 14', 'CLEMENTI')	120102	103.76923199999999	1.322382
99	('102', 'GANGSA RD', 'BUKIT PANJANG')	670102	103.767999	1.379163
100	('102', 'HENDERSON CRES', 'BUKIT MERAH')	150102	103.821465	1.290376
101	('102', 'HOUGANG AVE 1', 'HOUGANG')	530102	103.890866	1.354929
102	('102', 'JLN DUSUN', 'KALLANG/WHAMPOA')	320102	103.844287	1.327918
103	('102', 'JLN RAJAH', 'KALLANG/WHAMPOA')	321102	103.851687	1.328257
104	('102', 'JURONG EAST ST 13', 'JURONG EAST')	600102	103.738068	1.336047
105	('102', 'LENGKONG TIGA', 'BEDOK')	410102	103.910524	1.325602
106	('102', 'PASIR RIS ST 12', 'PASIR RIS')	510102	103.957939	1.367532
107	('102', 'POTONG PASIR AVE 1', 'TOA PAYOH')	350102	103.868868	1.333692
108	('102', 'RIVERVALE WALK', 'SENGKANG')	540102	103.900984	1.381772
109	('102', 'SERANGOON NTH AVE 1', 'SERANGOON')	550102	103.871314	1.3708120000000001
110	('102', 'SIMEI ST 1', 'TAMPINES')	520102	103.950983	1.341034
111	('102', 'TAMPINES ST 11', 'TAMPINES')	521102	103.94558599999999	1.346731
112	('102', 'TECK WHYE LANE', 'CHOA CHU KANG')	680102	103.75438299999999	1.37707
113	('102', 'TOWNER RD', 'KALLANG/WHAMPOA')	322102	103.862116	1.3206879999999999
114	('102', 'WOODLANDS ST 13', 'WOODLANDS')	730102	103.781089	1.436161
115	('102A', 'PUNGGOL FIELD', 'PUNGGOL')	821102	103.905877	1.398867
116	('102B', 'PUNGGOL FIELD', 'PUNGGOL')	822102	103.905466	1.399163
117	('102C', 'PUNGGOL FIELD', 'PUNGGOL')	823102	103.904904	1.398803
118	('102D', 'PUNGGOL FIELD', 'PUNGGOL')	824102	103.905365	1.398596
119	('103', 'AH HOOD RD', 'KALLANG/WHAMPOA')	320103	103.844931	1.328027
120	('103', 'ANG MO KIO AVE 3', 'ANG MO KIO')	560103	103.83914200000001	1.371011
121	('103', 'BEDOK NTH AVE 4', 'BEDOK')	460103	103.937664	1.3335290000000002
122	('103', 'BEDOK RESERVOIR RD', 'BEDOK')	470103	103.90955	1.3287639999999998
123	('103', 'BISHAN ST 12', 'BISHAN')	570103	103.84829599999999	1.345532
124	('103', 'BT BATOK CTRL', 'BUKIT BATOK')	651103	103.748391	1.348387
125	('103', 'BT PURMEI RD', 'BUKIT MERAH')	090103	103.825572	1.272071
126	('103', 'CLEMENTI ST 14', 'CLEMENTI')	120103	103.768839	1.322674
127	('103', 'DEPOT RD', 'BUKIT MERAH')	101103	103.813317	1.280802
128	('103', 'GANGSA RD', 'BUKIT PANJANG')	670103	103.768563	1.37876
