	addr	pc
366	"('110', 'LENGKONG TIGA', 'BEDOK')"	410110
367	"('110', 'LOR 1 TOA PAYOH', 'TOA PAYOH')"	310110
368	"('110', 'MCNAIR RD', 'KALLANG/WHAMPOA')"	320110
369	"('110', 'PASIR RIS ST 11', 'PASIR RIS')"	510110
370	"('110', 'RIVERVALE WALK', 'SENGKANG')"	540110
371	"('110', 'SERANGOON NTH AVE 1', 'SERANGOON')"	550110
372	"('110', 'SIMEI ST 1', 'TAMPINES')"	520110
373	"('110', 'SPOTTISWOODE PK RD', 'BUKIT MERAH')"	81110
374	"('110', 'TAMPINES ST 11', 'TAMPINES')"	521110
375	"('110', 'TECK WHYE LANE', 'CHOA CHU KANG')"	680110
376	"('110', 'WHAMPOA RD', 'KALLANG/WHAMPOA')"	321110
377	"('110', 'WOODLANDS ST 13', 'WOODLANDS')"	730110
378	"('110', 'YISHUN RING RD', 'YISHUN')"	760110
379	"('110A', 'PUNGGOL FIELD', 'PUNGGOL')"	821110
380	"('110B', 'PUNGGOL FIELD', 'PUNGGOL')"	822110
381	"('110C', 'PUNGGOL FIELD', 'PUNGGOL')"	823110
382	"('110D', 'PUNGGOL FIELD', 'PUNGGOL')"	824110
383	"('111', 'ALJUNIED CRES', 'GEYLANG')"	380111
384	"('111', 'ANG MO KIO AVE 4', 'ANG MO KIO')"	560111
385	"('111', 'BEDOK NTH RD', 'BEDOK')"	460111
386	"('111', 'BEDOK RESERVOIR RD', 'BEDOK')"	470111
387	"('111', 'BISHAN ST 12', 'BISHAN')"	570111
388	"('111', 'BT BATOK WEST AVE 6', 'BUKIT BATOK')"	650111
389	"('111', 'BT MERAH VIEW', 'BUKIT MERAH')"	150111
390	"('111', 'BT PURMEI RD', 'BUKIT MERAH')"	90111
391	"('111', ""C'WEALTH CRES"", 'QUEENSTOWN')"	140111
392	"('111', 'CLEMENTI ST 13', 'CLEMENTI')"	120111
393	"('111', 'EDGEFIELD PLAINS', 'PUNGGOL')"	820111
